id,srv_id,api_name,api_content,api_param,test_count,is_inuse,priority
1,1,JI,JI HDR= JOB= INCASID= OUTCASID= EQP= OPERATOR= PPID= RETICLE= CMT= TYPE= QTY= ALTOP=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""INCASID"",""value"":"""",""is_required"":false},{""key"":""OUTCASID"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""PPID"",""value"":"""",""is_required"":false},{""key"":""RETICLE"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""TYPE"",""value"":"""",""is_required"":false},{""key"":""QTY"",""value"":"""",""is_required"":false},{""key"":""ALTOP"",""value"":"""",""is_required"":false}]",0,Y,1
2,1,JIP,JIP HDR= JOB= BATCH= BATCHSIZE= EQP= OPERATOR= PPID= RETICLE= CMT= QTY=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""BATCH"",""value"":"""",""is_required"":false},{""key"":""BATCHSIZE"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""PPID"",""value"":"""",""is_required"":false},{""key"":""RETICLE"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""QTY"",""value"":"""",""is_required"":false}]",0,Y,1
3,1,EJIP,EJIP HDR= JOB= BATCH= BATCHSIZE= EQP= OPERATOR= PPID= DCSPEC= RETICLE= CMT= QTY=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""BATCH"",""value"":"""",""is_required"":false},{""key"":""BATCHSIZE"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""PPID"",""value"":"""",""is_required"":false},{""key"":""DCSPEC"",""value"":"""",""is_required"":false},{""key"":""RETICLE"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""QTY"",""value"":"""",""is_required"":false}]",0,N,3
4,1,JO,JO  HDR= JOB= CASID= EQP= OPERATOR= ISCOMPLEX= ISIDENTIFIED= SCRAP= REWORK= SPLITREWORK= CELL= ISTESTWAFER= CMT= WAFERLIST= LOTLOC=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""CASID"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""ISCOMPLEX"",""value"":"""",""is_required"":false},{""key"":""ISIDENTIFIED"",""value"":"""",""is_required"":false},{""key"":""SCRAP"",""value"":"""",""is_required"":false},{""key"":""REWORK"",""value"":"""",""is_required"":false},{""key"":""SPLITREWORK"",""value"":"""",""is_required"":false},{""key"":""CELL"",""value"":"""",""is_required"":false},{""key"":""ISTESTWAFER"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""WAFERLIST"",""value"":"""",""is_required"":false},{""key"":""LOTLOC"",""value"":"""",""is_required"":false}]",0,Y,1
5,1,JIPC,JIPC  HDR= JOB= EQP= OPERATOR= CMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false}]",0,Y,1
6,1,JIC,JIC  HDR= JOB= EQP= OPERATOR= CMT= ABCODE= ABCMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""ABCODE"",""value"":"""",""is_required"":false},{""key"":""ABCMT"",""value"":"""",""is_required"":false}]",0,Y,1
7,1,NONJICANCEL,NONJICANCEL HDR= JOB= EQP= OPERATOR= CMT= ABCODE= ABCMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""JOB"",""value"":"""",""is_required"":false},{""key"":""EQP"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""ABCODE"",""value"":"""",""is_required"":false},{""key"":""ABCMT"",""value"":"""",""is_required"":false}]",0,Y,1
8,1,LOTSTART,LOTSTART HDR= LOT= OPERATOR= QTY= CELL= AREA= SRCPART= SRCLOT= LOC= MATERIAL= ISIDENTIFIED= COMPLIST= WIPRACK= SLOT= BAUNUM= CMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""QTY"",""value"":"""",""is_required"":false},{""key"":""CELL"",""value"":"""",""is_required"":false},{""key"":""AREA"",""value"":"""",""is_required"":false},{""key"":""SRCPART"",""value"":"""",""is_required"":false},{""key"":""SRCLOT"",""value"":"""",""is_required"":false},{""key"":""LOC"",""value"":"""",""is_required"":false},{""key"":""MATERIAL"",""value"":"""",""is_required"":false},{""key"":""ISIDENTIFIED"",""value"":"""",""is_required"":false},{""key"":""COMPLIST"",""value"":"""",""is_required"":false},{""key"":""WIPRACK"",""value"":"""",""is_required"":false},{""key"":""SLOT"",""value"":"""",""is_required"":false},{""key"":""BAUNUM"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false}]",0,Y,1
9,1,HOLD,HOLD HDR= LOT= OPERATOR= CODE= REASON= CMT= PASSWD=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""CODE"",""value"":"""",""is_required"":false},{""key"":""REASON"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""PASSWD"",""value"":"""",""is_required"":false}]",0,Y,1
10,1,RHLD,RHLD HDR= LOT= OPERATOR= CODE= REASON= CMT= PASSWD=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""CODE"",""value"":"""",""is_required"":false},{""key"":""REASON"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""PASSWD"",""value"":"""",""is_required"":false}]",0,Y,1
11,1,RELEASE,RELEASE HDR= LOT= OPERATOR= PASSWD= CMT= LONGCMT= PNDNCMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""PASSWD"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""LONGCMT"",""value"":"""",""is_required"":false},{""key"":""PNDNCMT"",""value"":"""",""is_required"":false}]",0,Y,1
12,1,SCRAP,SCRAP HDR= LOT= OPERATOR= ISIDENTIFIED= SCRAP= CMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""ISIDENTIFIED"",""value"":"""",""is_required"":false},{""key"":""SCRAP"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false}]",0,N,3
13,1,UNSCRAP,UNSCRAP HDR= LOT= OPERATOR= ISCOMPLETELOT= ISIDENTIFIED= UNSCRAP= CMT=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""ISCOMPLETELOT"",""value"":"""",""is_required"":false},{""key"":""ISIDENTIFIED"",""value"":"""",""is_required"":false},{""key"":""UNSCRAP"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false}]",0,N,3
14,1,REWORK,REWORK HDR= LOT= OPERATOR= ISIDENTIFIED= CODE= QTY= PROC= COMP= STARTINST= ENDINST= CMT= SCANPURPOSE= SCANCOMP=,"[{""key"":""HDR"",""value"":"""",""is_required"":false},{""key"":""LOT"",""value"":"""",""is_required"":false},{""key"":""OPERATOR"",""value"":"""",""is_required"":false},{""key"":""ISIDENTIFIED"",""value"":"""",""is_required"":false},{""key"":""CODE"",""value"":"""",""is_required"":false},{""key"":""QTY"",""value"":"""",""is_required"":false},{""key"":""PROC"",""value"":"""",""is_required"":false},{""key"":""COMP"",""value"":"""",""is_required"":false},{""key"":""STARTINST"",""value"":"""",""is_required"":false},{""key"":""ENDINST"",""value"":"""",""is_required"":false},{""key"":""CMT"",""value"":"""",""is_required"":false},{""key"":""SCANPURPOSE"",""value"":"""",""is_required"":false},{""key"":""SCANCOMP"",""value"":"""",""is_required"":false}]",0,Y,1
